"crowdflower_id","trusted_answers","last_answer_at","class","class_confidence","ground_truth_class","comments","account_type","dataset","twitter_user_id","twitter_screen_name"
"911068395","3","2016-03-22 10:45:36","spambot","0.6787","genuine",,"genuine accounts","genuine accounts","887281","Payo"
"911068414","3","2016-04-04 11:26:54","spambot","0.6212","genuine",,"genuine accounts","genuine accounts","14418605","akiraoltar"
"911068465","3","2016-03-22 10:48:36","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","18917949","lilalahood"
"911068466","3","2016-03-22 11:11:12","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","18989002","CBS6Albany"
"911068480","3","2016-04-04 10:54:54","genuine","0.6716","genuine",,"genuine accounts","genuine accounts","21345227","VictorB123"
"911068881","3","2016-04-04 11:29:12","genuine","0.6621","genuine",,"genuine accounts","genuine accounts","27372659","DayObama"
"911068893","3","2016-04-04 11:42:39","genuine","0.6723","genuine",,"genuine accounts","genuine accounts","28687359","ladytecniq"
"911068916","3","2016-04-04 12:00:54","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","31290927","jherbig"
"911068963","3","2016-04-04 11:48:21","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","37407255","Aagan86"
"911069252","3","2016-04-04 11:03:58","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","42642152","palashmustafiz"
"911069293","3","2016-04-04 11:22:58","genuine","0.6571","genuine",,"genuine accounts","genuine accounts","45859110","giannprincesa"
"911069325","3","2016-04-04 11:10:43","unable","1.0000","genuine","The person named jamie masson Tweets are hidden
secret account
protected tweets","genuine accounts","genuine accounts","50357236","MiiiGoh"
"911069481","3","2016-04-04 14:01:00","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","66177353","rochelle_ejacob"
"911069554","3","2016-04-04 11:48:06","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","71762592","bismaakbar"
"911069734","3","2016-04-04 11:57:54","spambot","0.6410","genuine",,"genuine accounts","genuine accounts","75506408","krnbwj"
"911069768","3","2016-04-04 12:01:59","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","79057935","franchicovi"
"911069794","3","2016-04-04 10:52:28","genuine","0.6769","genuine",,"genuine accounts","genuine accounts","85203320","boyzinthehoood"
"911069830","3","2016-04-04 11:30:45","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","102050811","ronaloves"
"911069886","3","2016-04-04 10:43:04","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","123209387","JamesProcopis"
"911069907","3","2016-04-04 10:50:10","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","131043638","AboutFactsNet"
"911069916","3","2016-04-04 11:37:16","genuine","0.6422","genuine",,"genuine accounts","genuine accounts","136173007","TheRashooAwan"
"911069931","3","2016-04-04 10:51:08","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","144976887","hakns"
"911069940","3","2016-04-04 10:53:19","unable","1.0000","genuine","Sorry, that page doesn’t exist!
suspended
page not found","genuine accounts","genuine accounts","150873009","frances_corrine"
"911069947","3","2016-04-04 11:41:06","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","153690249","Chemaparis"
"911069972","3","2016-04-04 11:23:33","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","161547148","VanessaBeniteez"
"911070003","3","2016-04-04 10:30:22","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","169194549","BryanBroaddus"
"911070004","3","2016-04-04 11:11:31","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","169325249","toppjj"
"911070041","3","2016-04-04 11:44:50","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","189795889","RKPriestley"
"911070110","3","2016-04-04 10:35:43","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","221187678","KingKhanBeats"
"911070117","3","2016-04-04 11:37:56","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","225281874","bipiiin"
"911070123","3","2016-04-04 11:36:01","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","227055399","laurrkat"
"911070127","3","2016-04-04 10:50:10","genuine","0.6563","genuine",,"genuine accounts","genuine accounts","229875064","ArthurKassel"
"911070132","3","2016-04-04 10:46:53","genuine","0.6471","genuine",,"genuine accounts","genuine accounts","231721237","cojjeee"
"911070157","3","2016-04-04 11:52:11","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","241157629","Luke24_"
