user_id,Count(tweets),Sum(retweet_count),Sum(reply_count),Sum(favorite_count),Sum(num_hashtags),Sum(num_urls),Sum(num_mentions),Sum(tweet_length),Sum(retweeted),Avg(retweet_count),Avg(reply_count),Avg(favorite_count),Avg(num_hashtags),Avg(num_urls),Avg(num_mentions),Avg(tweet_length),Avg(retweeted),Min(retweet_count),Min(reply_count),Min(favorite_count),Min(num_hashtags),Min(num_urls),Min(num_mentions),Min(tweet_length),Max(retweet_count),Max(reply_count),Max(favorite_count),Max(num_hashtags),Max(num_urls),Max(num_mentions),Max(tweet_length)
887281,626,9850,0,25,157,90,447,55016,45,15.73482428115016,0.0,0.039936102236421724,0.2507987220447284,0.14376996805111822,0.7140575079872205,87.8849840255591,0.07188498402555911,0,0,0,0,0,0,10,3849,0,4,6,3,4,160
14418605,3240,1956538,0,390,897,1086,3471,332518,2419,603.8697530864198,0.0,0.12037037037037036,0.27685185185185185,0.3351851851851852,1.0712962962962962,102.62901234567902,0.7466049382716049,0,0,0,0,0,0,12,204696,0,7,11,3,8,148
18917949,1302,13621,0,212,1028,217,1513,154311,182,10.461597542242703,0.0,0.16282642089093702,0.7895545314900153,0.16666666666666666,1.162058371735791,118.5184331797235,0.13978494623655913,0,0,0,0,0,0,8,10771,0,47,5,2,11,146
18989002,3220,31272,0,2184,573,2035,2202,362017,994,9.711801242236024,0.0,0.6782608695652174,0.1779503105590062,0.6319875776397516,0.6838509316770186,112.42763975155279,0.30869565217391304,0,0,0,0,0,0,20,2620,0,112,4,2,6,148
21345227,3203,62118,0,702,354,663,4949,334588,941,19.39369341242585,0.0,0.21916952856696847,0.1105213862004371,0.20699344364658134,1.5451139556665625,104.4608179831408,0.29378707461754605,0,0,0,0,0,0,15,3653,0,50,8,3,6,147
27372659,3211,665624,0,1008,265,528,2301,217248,492,207.294923699782,0.0,0.3139208969168483,0.0825288072251635,0.16443475552787293,0.7165991902834008,67.65742759265027,0.1532232949236998,0,0,0,0,0,0,0,93128,0,9,6,2,6,147
28687359,3201,12551,0,420,689,2864,2321,367656,121,3.9209621993127146,0.0,0.13120899718837864,0.21524523586379257,0.894720399875039,0.7250859106529209,114.85660731021555,0.037800687285223365,0,0,0,0,0,0,0,5262,0,8,4,2,7,158
31290927,837,166212,0,141,250,138,589,78933,280,198.58064516129033,0.0,0.16845878136200718,0.2986857825567503,0.16487455197132617,0.7037037037037037,94.30465949820788,0.3345280764635603,0,0,0,0,0,0,11,16275,0,6,5,2,7,150
37407255,3215,186401,0,1365,1453,591,2615,329431,1086,57.97853810264386,0.0,0.42457231726283046,0.45194401244167964,0.1838258164852255,0.8133748055987559,102.46687402799378,0.33779160186625196,0,0,0,0,0,0,5,23410,0,32,9,4,9,150
42642152,3190,403748,0,200,665,242,2879,260843,392,126.5667711598746,0.0,0.06269592476489028,0.2084639498432602,0.07586206896551724,0.9025078369905956,81.76896551724138,0.12288401253918495,0,0,0,0,0,0,9,96212,0,5,5,2,5,145
45859110,3177,1001421,0,166,1126,1011,2554,236112,994,315.20963172804534,0.0,0.05225055083412024,0.3544224110796349,0.3182247403210576,0.8039030531948379,74.31916902738432,0.3128737802958766,0,0,0,0,0,0,0,72258,0,4,8,1,7,148
50357236,3221,381392,0,599,208,25,1878,138169,173,118.40794784228501,0.0,0.18596709096553865,0.06457621856566284,0.00776156473144986,0.5830487426265135,42.89630549518783,0.053710027941633036,0,0,0,0,0,0,0,81082,0,5,6,1,9,144
66177353,3225,353939,0,1664,86,76,2548,146475,415,109.74852713178295,0.0,0.515968992248062,0.02666666666666667,0.023565891472868215,0.7900775193798449,45.41860465116279,0.12868217054263567,0,0,0,0,0,0,0,46363,0,45,4,1,8,146
71762592,234,4981,0,31,273,101,215,26188,85,21.286324786324787,0.0,0.13247863247863248,1.1666666666666667,0.43162393162393164,0.9188034188034188,111.91452991452991,0.36324786324786323,0,0,0,0,0,0,11,726,0,5,5,1,4,144
75506408,135,1206,0,62,189,47,93,13592,23,8.933333333333334,0.0,0.45925925925925926,1.4,0.34814814814814815,0.6888888888888889,100.68148148148148,0.17037037037037037,0,0,0,0,0,0,13,381,0,10,7,1,3,140
79057935,3242,626637,0,427,531,358,2295,169135,699,193.28716841455892,0.0,0.13170882171499074,0.16378778531770513,0.11042566317088218,0.7078963602714374,52.16995681677977,0.21560764959901296,0,0,0,0,0,0,0,47743,0,6,5,3,9,144
85203320,3198,118185,0,1103,945,470,6999,290594,407,36.95590994371482,0.0,0.34490306441525953,0.2954971857410882,0.14696685428392744,2.1885553470919326,90.86741713570981,0.12726704190118823,0,0,0,0,0,0,10,38966,0,58,10,3,11,148
102050811,3197,785015,0,457,332,502,1846,202986,364,245.54738817641538,0.0,0.14294651235533312,0.10384735689709103,0.15702220832030028,0.5774163278073193,63.49264935877385,0.113856740694401,0,0,0,0,0,0,0,103898,0,6,6,2,5,152
123209387,15,20,0,8,5,2,16,1162,4,1.3333333333333333,0.0,0.5333333333333333,0.3333333333333333,0.13333333333333333,1.0666666666666667,77.46666666666667,0.26666666666666666,0,0,0,0,0,0,16,8,0,5,2,1,3,140
131043638,3114,16,0,16,0,4480,133,183577,0,0.005138086062941554,0.0,0.005138086062941554,0.0,1.4386640976236351,0.04271034039820167,58.952151573538856,0.0,0,0,0,0,0,0,10,4,0,1,0,2,3,152
136173007,3179,79204,0,1257,1008,186,1608,223130,712,24.914753067002202,0.0,0.39540736080528466,0.31708084303240014,0.058508965083359545,0.5058194400754954,70.1887385970431,0.2239698018244731,0,0,0,0,0,0,0,9995,0,13,6,2,5,148
144976887,3204,466025,0,654,2196,434,2441,287925,1309,145.45099875156055,0.0,0.20411985018726592,0.6853932584269663,0.13545568039950062,0.7618601747815231,89.86423220973782,0.4085518102372035,0,0,0,0,0,0,4,144166,0,24,10,2,8,152
150873009,3191,143982,0,234,680,175,533,125579,223,45.1212785960514,0.0,0.07333124412409903,0.2130993418990912,0.05484174240050141,0.16703227828267,39.35412096521467,0.06988404888749608,0,0,0,0,0,0,0,53007,0,5,7,1,6,146
153690249,2461,78445,0,899,829,1520,2662,241195,930,31.875253961804145,0.0,0.36529865908167414,0.3368549370174726,0.617635107679805,1.0816741162129215,98.00690776107274,0.3778951645672491,0,0,0,0,0,0,8,10023,0,17,3,2,7,145
161547148,3193,450427,0,939,138,35,1456,141816,518,141.0670216097714,0.0,0.2940808017538365,0.04321954274976511,0.01096147823363608,0.45599749451926086,44.41465706232383,0.16222987785781398,0,0,0,0,0,0,0,36681,0,8,5,1,4,148
169194549,3224,13165,0,9118,132,305,4523,301313,219,4.083436724565757,0.0,2.8281637717121586,0.04094292803970223,0.0946029776674938,1.4029156327543424,93.45936724565757,0.06792803970223325,0,0,0,0,0,0,13,2962,0,332,4,2,8,149
169325249,3205,270843,0,188,4091,2699,2483,368786,1546,84.50639625585023,0.0,0.058658346333853355,1.276443057722309,0.8421216848673947,0.7747269890795632,115.06583463338534,0.4823712948517941,0,0,0,0,0,0,9,18240,0,6,16,3,7,152
189795889,3231,361820,0,1235,1367,811,3289,353920,707,111.98390591148251,0.0,0.3822346022903126,0.42308882698854844,0.2510058805323429,1.017951098731043,109.53884246363354,0.21881770349736923,0,0,0,0,0,0,1,293941,0,53,5,2,8,150
221187678,3155,1965179,0,1765,224,329,3135,184979,1752,622.8776545166403,0.0,0.5594294770206022,0.07099841521394612,0.10427892234548336,0.993660855784469,58.63042789223455,0.5553090332805072,0,0,0,0,0,0,0,375058,0,16,7,2,9,148
225281874,162,64131,0,12,67,27,126,13926,77,395.8703703703704,0.0,0.07407407407407407,0.41358024691358025,0.16666666666666666,0.7777777777777778,85.96296296296296,0.47530864197530864,0,0,0,0,0,0,14,30640,0,2,4,2,4,152
227055399,3234,3357217,0,3239,489,182,2528,248038,1229,1038.1004947433519,0.0,1.0015460729746444,0.15120593692022263,0.05627705627705628,0.7816944959802102,76.6969696969697,0.38002473716759433,0,0,0,0,0,0,0,242708,0,44,8,1,6,160
229875064,79,958,0,5,13,4,123,5364,14,12.126582278481013,0.0,0.06329113924050633,0.16455696202531644,0.05063291139240506,1.5569620253164558,67.89873417721519,0.17721518987341772,0,0,0,0,0,0,13,418,0,1,2,1,6,140
231721237,3230,867656,0,247,918,1785,2407,288698,1166,268.62414860681116,0.0,0.07647058823529412,0.28421052631578947,0.5526315789473685,0.7452012383900929,89.38018575851393,0.3609907120743034,0,0,0,0,0,0,3,44255,0,22,14,4,5,148
241157629,2962,820412,0,172,905,931,2373,214677,849,276.97906819716405,0.0,0.05806887238352464,0.3055367994598244,0.31431465226198513,0.8011478730587441,72.47704253882512,0.28663065496286294,0,0,0,0,0,0,4,151119,0,5,14,2,7,144
256741082,3132,1980987,0,699,261,270,1029,178773,706,632.4990421455939,0.0,0.2231800766283525,0.08333333333333333,0.08620689655172414,0.328544061302682,57.07950191570881,0.22541507024265645,0,0,0,0,0,0,0,151119,0,7,5,2,6,152
261781756,3212,116423,0,60,44,8,2448,165869,26,36.24626400996264,0.0,0.0186799501867995,0.0136986301369863,0.0024906600249066002,0.7621419676214197,51.64041095890411,0.00809464508094645,0,0,0,0,0,0,3,79375,0,3,4,1,7,144
274577874,3222,79127,0,412,249,182,1695,194474,119,24.55834885164494,0.0,0.12787088764742396,0.07728119180633147,0.05648665425201738,0.5260707635009311,60.35816263190565,0.03693358162631906,0,0,0,0,0,0,0,23169,0,7,8,3,6,152
308236961,3156,2441477,0,799,1134,49,1079,176749,623,773.5985424588087,0.0,0.2531685678073511,0.3593155893536122,0.015525982256020279,0.34188846641318127,56.004119138149555,0.19740177439797213,0,0,0,0,0,0,0,171532,0,43,28,2,3,160
312299420,3187,471433,0,793,997,192,2080,218674,283,147.9237527455287,0.0,0.248823344838406,0.3128333856291183,0.060244744273611546,0.6526513962974584,68.61437088170693,0.08879824286162535,0,0,0,0,0,0,0,151335,0,5,9,2,7,152
324540065,3169,1614581,0,315,1807,355,4426,292330,1952,509.4922688545282,0.0,0.09940044177974125,0.5702114231618807,0.11202272010097823,1.3966550962448723,92.24676554118018,0.6159671820763648,0,0,0,0,0,0,0,450488,0,11,10,2,10,148
332829606,3149,1478853,0,514,935,689,3682,253597,1742,469.62623054938075,0.0,0.16322642108605906,0.29691965703397905,0.21879961892664337,1.1692600825658939,80.53255001587806,0.5531914893617021,0,0,0,0,0,0,0,106222,0,16,6,2,9,148
344457551,3190,1521928,0,1691,283,94,1954,167417,1280,477.0934169278997,0.0,0.5300940438871473,0.08871473354231975,0.02946708463949843,0.6125391849529781,52.481818181818184,0.4012539184952978,0,0,0,0,0,0,0,128687,0,11,3,1,6,148
345197864,3219,2421,0,97,2308,2200,175,259470,5,0.7520969245107176,0.0,0.030133581857719787,0.7169928549238894,0.6834420627524076,0.05436470953712333,80.6057781919851,0.0015532774153463808,0,0,0,0,0,0,6,1396,0,11,9,2,4,144
345604332,3116,2149825,0,3997,158,91,1579,148927,830,689.931001283697,0.0,1.282734274711168,0.050706033376123234,0.02920410783055199,0.5067394094993581,47.79428754813864,0.2663671373555841,0,0,0,0,0,0,0,293924,0,33,3,1,6,144
346722822,3140,431861,0,483,148,44,1072,199279,518,137.53535031847133,0.0,0.1538216560509554,0.04713375796178344,0.014012738853503185,0.3414012738853503,63.46464968152866,0.16496815286624203,0,0,0,0,0,0,0,179975,0,22,13,1,8,144
348393966,3228,222252,0,59,110,1243,1395,161501,609,68.85130111524164,0.0,0.018277571251548948,0.03407682775712516,0.3850681536555142,0.43215613382899626,50.031288723667906,0.18866171003717472,0,0,0,0,0,0,0,29730,0,1,5,2,5,140
369285103,3148,2556449,0,893,181,381,1291,146228,828,812.0867217280813,0.0,0.2836721728081322,0.05749682337992376,0.1210292249047014,0.41010165184243963,46.45108005082592,0.2630241423125794,0,0,0,0,0,0,0,70261,0,19,18,1,3,144
382481131,3211,1364008,0,314,2355,982,3928,365606,2299,424.7922765493616,0.0,0.09778885082528807,0.7334163811896606,0.3058237309249455,1.223294923699782,113.86047960137029,0.7159763313609467,0,0,0,0,0,0,11,105136,0,8,9,2,10,148
387957169,3184,2263143,0,2984,210,104,1329,164040,592,710.7861180904523,0.0,0.9371859296482412,0.06595477386934673,0.032663316582914576,0.4173994974874372,51.52010050251256,0.18592964824120603,0,0,0,0,0,0,0,147100,0,45,4,2,4,148
406524900,3222,1993566,0,724,362,173,3171,211827,890,618.7355679702049,0.0,0.22470515207945377,0.11235257603972688,0.053693358162631905,0.984171322160149,65.74394785847299,0.27622594661700806,0,0,0,0,0,0,0,107311,0,14,8,2,5,148
413461232,3204,1008484,0,2284,96,264,2657,164137,329,314.75780274656677,0.0,0.7128589263420724,0.0299625468164794,0.08239700374531835,0.8292759051186017,51.228776529338326,0.10268414481897628,0,0,0,0,0,0,0,148920,0,21,5,2,5,148
413655972,3187,912504,0,578,1499,280,3086,256969,1463,286.3206777533731,0.0,0.18136178224035143,0.47034828992783184,0.08785691873235017,0.9683087543144022,80.63037339190461,0.45905240037652967,0,0,0,0,0,0,4,31208,0,7,11,2,8,152
433559911,3192,798096,0,329,355,321,1339,177583,585,250.0300751879699,0.0,0.10307017543859649,0.1112155388471178,0.10056390977443609,0.41948621553884713,55.63377192982456,0.18327067669172933,0,0,0,0,0,0,0,293916,0,4,5,2,4,160
468369974,3196,1372516,0,623,542,1538,2193,211384,751,429.44806007509385,0.0,0.19493116395494367,0.16958698372966208,0.4812265331664581,0.6861702127659575,66.14017521902377,0.23498122653316647,0,0,0,0,0,0,0,72062,0,215,6,3,8,148
474784082,3224,36575,0,267,4672,655,6508,357258,1868,11.344602977667494,0.0,0.08281637717121589,1.4491315136476426,0.2031637717121588,2.0186104218362284,110.81203473945409,0.5794044665012407,0,0,0,0,0,0,11,2173,0,9,9,4,11,156
481994964,1120,109601,0,348,443,67,1246,103107,581,97.85803571428572,0.0,0.3107142857142857,0.39553571428571427,0.059821428571428574,1.1125,92.05982142857142,0.51875,0,0,0,0,0,0,8,21890,0,85,6,2,9,152
488351800,3180,6118316,0,334,197,516,2325,217665,1791,1923.9987421383648,0.0,0.10503144654088051,0.061949685534591195,0.16226415094339622,0.7311320754716981,68.44811320754717,0.5632075471698114,0,0,0,0,0,0,0,234898,0,20,4,2,4,148
539977804,3243,4716135,0,25810,253,334,703,288362,132,1454.2506938020351,0.0,7.9586802343509095,0.07801418439716312,0.10299105766265804,0.2167745914276904,88.91828553808202,0.04070305272895467,0,0,0,0,0,0,4,1165244,0,512,4,2,5,144
547900413,3191,22029218,0,1326,333,197,1707,265660,752,6903.546850517079,0.0,0.4155437167032278,0.10435600125352554,0.0617361328737073,0.534942024443748,83.2528987778126,0.2356628016295832,0,0,0,0,0,0,0,599503,0,242,6,2,9,148
554002998,1348,241361,0,60,1612,59,1062,110364,441,179.05118694362017,0.0,0.04451038575667656,1.195845697329377,0.04376854599406528,0.787833827893175,81.87240356083086,0.3271513353115727,0,0,0,0,0,0,0,76461,0,4,11,1,7,152
568015457,3235,297979,0,1230,73,128,2602,153728,373,92.11097372488408,0.0,0.3802163833075734,0.022565687789799074,0.03956723338485317,0.8043276661514683,47.520247295208655,0.11530139103554869,0,0,0,0,0,0,3,24879,0,8,7,2,8,140
568841497,3123,1556188,0,991,204,90,1408,140466,510,498.29907140569964,0.0,0.31732308677553633,0.06532180595581172,0.02881844380403458,0.4508485430675632,44.97790585975024,0.1633045148895293,0,0,0,0,0,0,0,450318,0,10,4,1,5,144
571300130,3152,2927913,0,4325,396,208,2773,202567,1114,928.9064086294417,0.0,1.3721446700507614,0.12563451776649745,0.06598984771573604,0.879758883248731,64.26618020304568,0.3534263959390863,0,0,0,0,0,0,0,160294,0,99,4,2,7,144
609166669,3124,7054910,0,2166,113,67,2127,181817,1334,2258.2938540332907,0.0,0.6933418693982074,0.03617157490396927,0.02144686299615877,0.6808578745198464,58.20006402048656,0.42701664532650446,0,0,0,0,0,0,0,599598,0,104,3,2,6,152
614770385,102,72982,0,12,19,6,77,7778,9,715.5098039215686,0.0,0.11764705882352941,0.18627450980392157,0.058823529411764705,0.7549019607843137,76.25490196078431,0.08823529411764706,0,0,0,0,0,0,6,44992,0,2,2,1,2,140
632681284,3233,822739,0,2928,103,98,697,144560,520,254.48159604082895,0.0,0.9056603773584906,0.03185895453139499,0.030312403340550572,0.21558923600371172,44.713888029693784,0.16084132384781935,0,0,0,0,0,0,0,113591,0,15,3,1,7,152
710518321,3202,208164,0,622,190,198,1384,128404,296,65.0106183635228,0.0,0.1942535915053092,0.05933791380387258,0.06183635227982511,0.4322298563397876,40.10118675827608,0.0924422236102436,0,0,0,0,0,0,0,58292,0,6,7,3,7,148
853893720,3187,4647055,0,4000,211,202,2844,193641,1661,1458.1283338562912,0.0,1.255098839033574,0.06620646375902102,0.06338249137119548,0.892375274552871,60.75964857232507,0.5211797929086915,0,0,0,0,0,0,0,240350,0,423,4,2,6,148
876150199,3210,228780,0,7708,308,218,4757,227399,354,71.27102803738318,0.0,2.401246105919003,0.09595015576323987,0.06791277258566979,1.4819314641744548,70.84080996884735,0.1102803738317757,0,0,0,0,0,0,9,44491,0,537,4,2,8,148
973526449,1760,21480,0,189,738,337,2192,171520,691,12.204545454545455,0.0,0.10738636363636364,0.4193181818181818,0.19147727272727272,1.2454545454545454,97.45454545454545,0.3926136363636364,0,0,0,0,0,0,14,1303,0,7,6,2,12,148
