timestamp,user_id,retweetCnt,replyCnt,favoriteCnt,hashtagCnt,tweets,screen_name
2007,11174562,0,0,0,0,30,ditorelo
2008,8711952,0,0,0,0,239,caseyalt
2008,11174562,0,0,0,0,273,ditorelo
2009,8548002,7,0,0,8,127,ochaser
2009,8711952,0,0,1,0,169,caseyalt
2009,11174562,2,0,1,44,644,ditorelo
2009,21331733,46,0,14,12,136,DavidVarrone
2010,8548002,1241,0,86,298,956,ochaser
2010,8711952,4603,0,2,2,164,caseyalt
2010,11174562,4,0,1,18,70,ditorelo
2010,16740486,3995,0,0,1,12,genebailey
2010,21331733,3,0,1,0,19,DavidVarrone
2010,101882667,6720,0,2,182,696,DUWomensCollege
2010,151855545,0,0,0,0,1,cmdrfletcher
2010,152077459,857434,0,3,210,2475,JollyFuentes
2011,8548002,5441,0,0,116,141,ochaser
2011,8711952,6059,0,13,10,147,caseyalt
2011,11174562,6509,0,3,31,223,ditorelo
2011,16740486,239674,0,0,9,118,genebailey
2011,17132768,452,0,99,2,834,patrickghoward
2011,21331733,0,0,0,0,2,DavidVarrone
2011,26117307,196469,0,0,92,124,LaurieMoonPR
2011,75863742,953,0,134,196,228,ScreenwritingU
2011,101882667,5837,0,7,578,1003,DUWomensCollege
2011,152077459,17019,0,1,36,468,JollyFuentes
2012,8548002,137130,0,3,666,550,ochaser
2012,8711952,370,0,13,6,134,caseyalt
2012,11174562,2388,0,6,8,251,ditorelo
2012,16740486,29433,0,0,20,48,genebailey
2012,17132768,5326,0,1010,1398,1432,patrickghoward
2012,26117307,12988,0,12,698,1110,LaurieMoonPR
2012,75863742,6158,0,2818,357,1276,ScreenwritingU
2012,101882667,18198,0,13,907,1020,DUWomensCollege
2012,152077459,0,0,0,0,15,JollyFuentes
2012,153162975,918,0,0,2,22,ThaThaTgurL
2012,153439655,23788,0,11,120,1368,mistah510
2012,485384525,318099,0,126,195,1686,AshtonAlford23
2012,485873421,79749,0,5,37,349,baiannuo
2013,8548002,246405,0,28,607,957,ochaser
2013,8711952,1813,0,3,4,12,caseyalt
2013,11174562,4619,0,3,16,160,ditorelo
2013,11417372,2794,0,114,333,1012,karlomongaya
2013,16740486,5640,0,20,52,230,genebailey
2013,17132768,1686,0,589,664,667,patrickghoward
2013,18013384,406,0,26,94,895,DoggieCakes
2013,26117307,21339,0,44,630,924,LaurieMoonPR
2013,43133380,1611,0,122,681,1555,StratCommun
2013,75863742,7767,0,5401,97,1045,ScreenwritingU
2013,90421989,14,0,6,398,1049,love5cs
2013,101882667,298,0,7,159,149,DUWomensCollege
2013,129549447,20,0,14,31,1520,Bidge1954
2013,151855545,0,0,2,2,15,cmdrfletcher
