user_id,Count(tweets),Sum(retweet_count),Sum(reply_count),Sum(favorite_count),Sum(num_hashtags),Sum(num_urls),Sum(num_mentions),Sum(tweet_length),Sum(retweeted),Avg(retweet_count),Avg(reply_count),Avg(favorite_count),Avg(num_hashtags),Avg(num_urls),Avg(num_mentions),Avg(tweet_length),Avg(retweeted),Min(retweet_count),Min(reply_count),Min(favorite_count),Min(num_hashtags),Min(num_urls),Min(num_mentions),Min(tweet_length),Max(retweet_count),Max(reply_count),Max(favorite_count),Max(num_hashtags),Max(num_urls),Max(num_mentions),Max(tweet_length)
678033.0,3195,242725.0,0.0,1676.0,1177.0,951.0,3556.0,352712,911,75.97026604068857,0.0,0.5245696400625978,0.36838810641627545,0.2976525821596244,1.1129890453834115,110.39499217527387,0.28513302034428795,0.0,0.0,0.0,0.0,0.0,0.0,4,21325.0,0.0,40.0,7.0,2.0,7.0,148
722623.0,3201,908396.0,0.0,1303.0,1154.0,523.0,2279.0,271746,561,283.7850671665105,0.0,0.4070602936582318,0.3605123398937832,0.1633864417369572,0.7119650109340832,84.89409559512653,0.17525773195876287,0.0,0.0,0.0,0.0,0.0,0.0,3,296689.0,0.0,19.0,14.0,2.0,7.0,151
755116.0,3209,105864.0,0.0,522.0,129.0,397.0,3078.0,260596,221,32.98971642256154,0.0,0.16266749766282332,0.04019943907759427,0.12371455282019321,0.9591773138049237,81.20785291368027,0.06886880648177002,0.0,0.0,0.0,0.0,0.0,0.0,2,13121.0,0.0,8.0,11.0,4.0,7.0,158
755746.0,3234,644062.0,0.0,276.0,873.0,1493.0,2206.0,273915,276,199.1533704390847,0.0,0.08534322820037106,0.2699443413729128,0.4616573902288188,0.6821273964131107,84.69851576994434,0.08534322820037106,0.0,0.0,0.0,0.0,0.0,0.0,9,321639.0,0.0,7.0,5.0,2.0,6.0,148
785080.0,3235,139956.0,0.0,1662.0,168.0,207.0,2531.0,309004,390,43.26306027820711,0.0,0.5137557959814528,0.05193199381761979,0.06398763523956723,0.7823802163833076,95.51901081916537,0.1205564142194745,0.0,0.0,0.0,0.0,0.0,0.0,1,16181.0,0.0,32.0,6.0,2.0,8.0,157
806585.0,3216,207520.0,0.0,1356.0,284.0,338.0,3876.0,282664,443,64.5273631840796,0.0,0.4216417910447761,0.08830845771144279,0.10509950248756218,1.205223880597015,87.89303482587064,0.13774875621890548,0.0,0.0,0.0,0.0,0.0,0.0,11,22063.0,0.0,12.0,7.0,2.0,5.0,144
806975.0,3238,192262.0,0.0,643.0,650.0,1175.0,2688.0,241410,730,59.376775787523165,0.0,0.19857936998147005,0.20074119827053738,0.3628783199505868,0.830142063001853,74.55528103767757,0.22544780728844965,0.0,0.0,0.0,0.0,0.0,0.0,0,37791.0,0.0,13.0,8.0,2.0,7.0,149
887281.0,626,9850.0,0.0,25.0,157.0,90.0,447.0,55016,45,15.73482428115016,0.0,0.039936102236421724,0.2507987220447284,0.14376996805111822,0.7140575079872205,87.8849840255591,0.07188498402555911,0.0,0.0,0.0,0.0,0.0,0.0,10,3849.0,0.0,4.0,6.0,3.0,4.0,160
1382561.0,3205,231736.0,0.0,860.0,1055.0,489.0,3471.0,259119,427,72.30452418096723,0.0,0.26833073322932915,0.3291731669266771,0.15257410296411855,1.0829953198127924,80.84836193447738,0.13322932917316693,0.0,0.0,0.0,0.0,0.0,0.0,0,105138.0,0.0,12.0,11.0,2.0,7.0,153
1813221.0,3190,1547350.0,0.0,424.0,400.0,1048.0,2697.0,321074,1636,485.0626959247649,0.0,0.1329153605015674,0.12539184952978055,0.3285266457680251,0.8454545454545455,100.65015673981192,0.5128526645768025,0.0,0.0,0.0,0.0,0.0,0.0,10,72942.0,0.0,7.0,5.0,2.0,6.0,152
2770511.0,3216,1000340.0,0.0,622.0,407.0,647.0,3149.0,242825,874,311.05099502487565,0.0,0.19340796019900497,0.1265547263681592,0.201181592039801,0.9791666666666666,75.50528606965175,0.27176616915422885,0.0,0.0,0.0,0.0,0.0,0.0,2,280955.0,0.0,7.0,6.0,3.0,8.0,153
3873101.0,3222,27785.0,0.0,808.0,146.0,688.0,351.0,82337,22,8.62352576039727,0.0,0.25077591558038487,0.04531346989447548,0.21353196772191185,0.10893854748603352,25.554624456859095,0.006828057107386716,0.0,0.0,0.0,0.0,0.0,0.0,0,20636.0,0.0,7.0,3.0,2.0,6.0,144
3888491.0,3197,336194.0,0.0,637.0,1960.0,1904.0,2919.0,300881,268,105.15921176102596,0.0,0.19924929621520177,0.6130747575852361,0.5955583359399437,0.9130434782608695,94.11354394745074,0.08382858930247107,0.0,0.0,0.0,0.0,0.0,0.0,0,280955.0,0.0,9.0,8.0,3.0,9.0,146
4121091.0,3225,580826.0,0.0,4147.0,502.0,415.0,3963.0,274987,756,180.10108527131783,0.0,1.2858914728682171,0.15565891472868218,0.12868217054263567,1.2288372093023257,85.26728682170543,0.2344186046511628,0.0,0.0,0.0,0.0,0.0,0.0,0,280955.0,0.0,244.0,7.0,1.0,11.0,156
5445622.0,3217,221470.0,0.0,2168.0,296.0,223.0,3689.0,324498,625,68.84364314578801,0.0,0.6739198010568853,0.09201119055020206,0.0693192415293752,1.1467205470935655,100.86975442959279,0.19428038545228474,0.0,0.0,0.0,0.0,0.0,0.0,2,13196.0,0.0,22.0,6.0,3.0,7.0,155
5812422.0,3216,807042.0,0.0,802.0,2985.0,1131.0,4073.0,351700,943,250.94589552238807,0.0,0.2493781094527363,0.9281716417910447,0.3516791044776119,1.2664800995024876,109.3594527363184,0.29322139303482586,0.0,0.0,0.0,0.0,0.0,0.0,0,56101.0,0.0,17.0,7.0,2.0,8.0,152
