timestamp,user_id,tweets,class,twitter_screen_name,retweetCnt,replyCnt,favoriteCnt,hashtagCnt
2007,887281,22,spambot,Payo,0,0,0,0
2008,887281,44,spambot,Payo,1,0,1,1
2009,887281,361,spambot,Payo,1,0,4,99
2009,18917949,77,genuine,lilalahood,16,0,1,15
2009,31290927,46,genuine,jherbig,0,0,0,1
2010,887281,14,spambot,Payo,143,0,0,11
2010,18917949,587,genuine,lilalahood,117,0,32,438
2010,131043638,11,genuine,AboutFactsNet,0,0,0,0
2010,153690249,5,genuine,Chemaparis,0,0,0,0
2011,887281,55,spambot,Payo,7705,0,3,23
2011,18917949,245,genuine,lilalahood,166,0,12,239
2011,31290927,170,genuine,jherbig,14459,0,0,9
2011,71762592,2,genuine,bismaakbar,0,0,0,1
2011,131043638,122,genuine,AboutFactsNet,7,0,1,0
2011,153690249,2,genuine,Chemaparis,0,0,0,0
2011,189795889,149,genuine,RKPriestley,6043,0,8,75
2011,229875064,2,genuine,ArthurKassel,0,0,0,0
2011,241157629,530,genuine,Luke24_,89740,0,1,48
2012,887281,22,spambot,Payo,214,0,0,5
2012,18917949,127,genuine,lilalahood,499,0,10,129
2012,31290927,152,genuine,jherbig,22052,0,3,33
2012,71762592,118,genuine,bismaakbar,1765,0,2,164
2012,131043638,276,genuine,AboutFactsNet,0,0,0,0
2012,153690249,425,genuine,Chemaparis,9236,0,13,135
2012,189795889,974,genuine,RKPriestley,26254,0,78,443
2012,229875064,1,genuine,ArthurKassel,0,0,0,0
2012,241157629,1036,genuine,Luke24_,106080,0,15,186
2012,261781756,2162,genuine,Jay_Rob23_,83549,0,16,39
2012,308236961,1215,genuine,_KingDevin25,29021,0,32,460
2012,346722822,264,spambot,Penguin_Stank,6170,0,42,13
2012,554002998,111,genuine,krazymoonz,6603,0,0,66
2012,568841497,856,genuine,ThatWhiteKidBj,35794,0,182,71
2012,614770385,22,genuine,brockly36,0,0,0,1
2013,887281,39,spambot,Payo,154,0,0,11
2013,18917949,68,genuine,lilalahood,12192,0,16,65
2013,31290927,145,genuine,jherbig,16664,0,27,54
2013,45859110,290,spambot,giannprincesa,273383,0,4,127
2013,50357236,1480,unable,MiiiGoh,488,0,235,130
2013,71762592,57,genuine,bismaakbar,152,0,6,62
2013,75506408,25,spambot,krnbwj,300,0,6,8
2013,102050811,1596,genuine,ronaloves,85148,0,216,83
2013,131043638,1847,genuine,AboutFactsNet,3,0,6,0
2013,153690249,745,genuine,Chemaparis,23088,0,154,226
2013,169325249,1457,genuine,toppjj,11959,0,28,1655
2013,189795889,1056,genuine,RKPriestley,303255,0,287,455
2013,225281874,1,genuine,bipiiin,9,0,0,0
2013,231721237,56,genuine,cojjeee,0,0,0,2
2013,241157629,681,genuine,Luke24_,74841,0,34,355
2013,261781756,444,genuine,Jay_Rob23_,1456,0,16,2
2013,308236961,1001,genuine,_KingDevin25,389158,0,168,461
2013,312299420,1809,genuine,erindunnxo,111911,0,414,636
2013,345604332,555,genuine,gtbotham4eva,422822,0,421,56
2013,346722822,1125,spambot,Penguin_Stank,112619,0,82,22
2013,387957169,1180,genuine,amockasin,299758,0,806,113
2013,433559911,858,genuine,JuanWolo,402801,0,93,121
2013,481994964,6,genuine,MeerTaimur,0,0,2,0
2013,554002998,410,genuine,krazymoonz,18635,0,12,374
2013,568841497,340,genuine,ThatWhiteKidBj,16917,0,105,28
2013,571300130,304,genuine,Grindhard_Greer,117361,0,237,63
2013,614770385,27,genuine,brockly36,2,0,0,6
2013,876150199,319,genuine,bakkedahl,16227,0,397,29
2013,973526449,14,spambot,TheRealMumtaz,81,0,0,14
2013,1021644026,761,genuine,Str8outdaforest,212016,0,145,19
2013,1390147280,4,genuine,ElNicoGalan,0,0,4,0
2013,1414080518,50,genuine,xoayeli,10077,0,14,2
2013,1446131569,1568,genuine,lilyfan_,193387,0,1751,397
2013,1465100186,149,genuine,Jan_zie,19830,0,10,32
2013,1505023116,214,spambot,Ashfullanne,98054,0,52,68
2013,1567482860,17,spambot,mr2kieu,0,0,0,30
2013,1576039274,1666,genuine,_offdatmiley,810874,0,417,103
2013,1613091608,43,genuine,abba_helicopter,288,0,12,9
2014,887281,33,spambot,Payo,23,0,2,3
2014,14418605,816,genuine,akiraoltar,283124,0,129,285
2014,18917949,158,genuine,lilalahood,490,0,116,114
2014,27372659,1621,genuine,DayObama,279340,0,508,153
